,School,INSTNM_x,INSTNM_x,INSTNM_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x
0,George C. Wallace State Community College,George C Wallace State Community College-Selma,George C Wallace State Community College-Selma,George C Wallace State Community College-Selma,101301,101301,101301,101301,101301,101301,101301
3,Caada College,Canada College,Canada College,Canada College,111434,111434,111434,111434,111434,111434,111434
4,Cascadia College,Canada College,Canada College,Canada College,111434,111434,111434,111434,111434,111434,111434
5,San Diego City College,San Diego Christian College,San Diego Christian College,San Diego Christian College,112084,112084,112084,112084,112084,112084,112084
6,Glendale Community College,Glendale Community College,Glendale Community College,Glendale Community College,115001,115001,115001,115001,115001,115001,115001
7,Glendale Community College,Glendale Community College,Glendale Community College,Glendale Community College,115001,115001,115001,115001,115001,115001,115001
8,Lakeland Community College,Lassen Community College,Lassen Community College,Lassen Community College,117274,117274,117274,117274,117274,117274,117274
9,Lane Community College,Lassen Community College,Lassen Community College,Lassen Community College,117274,117274,117274,117274,117274,117274,117274
10,Los Angeles Trade-Technical College,Los Angeles Trade Technical College,Los Angeles Trade Technical College,Los Angeles Trade Technical College,117724,117724,117724,117724,117724,117724,117724
11,Ventura College,Ventura College,Ventura College,Ventura College,125028,125028,125028,125028,125028,125028,125028
12,GateWay Community College,Gateway Community College,Gateway Community College,Gateway Community College,130396,130396,130396,130396,130396,130396,130396
13,GateWay Community College,GateWay Community College-Central City,GateWay Community College-Central City,GateWay Community College-Central City,246895,246895,246895,246895,246895,246895,246895
14,Gateway Community College,Gateway Community College,Gateway Community College,Gateway Community College,130396,130396,130396,130396,130396,130396,130396
15,Dalton State College,Daytona State College,Daytona State College,Daytona State College,133386,133386,133386,133386,133386,133386,133386
16,Seminole State College,Seminole State College of Florida,Seminole State College of Florida,Seminole State College of Florida,137209,137209,137209,137209,137209,137209,137209
19,Columbia College,Columbia College,Columbia College,Columbia College,217934,217934,217934,217934,217934,217934,217934
23,Columbia Basin College,Columbia College,Columbia College,Columbia College,217934,217934,217934,217934,217934,217934,217934
24,Lincoln College,Lincoln College,Lincoln College,Lincoln College,146676,146676,146676,146676,146676,146676,146676
25,North Central Missouri College,North Central College,North Central College,North Central College,147660,147660,147660,147660,147660,147660,147660
28,Highland Community College,Highland Community College,Highland Community College,Highland Community College,155186,155186,155186,155186,155186,155186,155186
29,Hinds Community College,Highland Community College,Highland Community College,Highland Community College,155186,155186,155186,155186,155186,155186,155186
30,Highline Community College,Highland Community College,Highland Community College,Highland Community College,155186,155186,155186,155186,155186,155186,155186
31,Highland Community College,Highland Community College,Highland Community College,Highland Community College,155186,155186,155186,155186,155186,155186,155186
32,Richland Community College,Highland Community College,Highland Community College,Highland Community College,155186,155186,155186,155186,155186,155186,155186
33,North Central Technical College,North Central Kansas Technical College,North Central Kansas Technical College,North Central Kansas Technical College,155593,155593,155593,155593,155593,155593,155593
34,Southwestern College,Southwestern College,Southwestern College,Southwestern College,155900,155900,155900,155900,155900,155900,155900
35,Southwestern College,Southwestern College,Southwestern College,Southwestern College,188207,188207,188207,188207,188207,188207,188207
36,Southwestern College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
37,Southwestern College,Southwestern Christian College,Southwestern Christian College,Southwestern Christian College,228486,228486,228486,228486,228486,228486,228486
38,Southwestern Community College,Southwestern College,Southwestern College,Southwestern College,155900,155900,155900,155900,155900,155900,155900
39,Southwestern Community College,Southwestern College,Southwestern College,Southwestern College,188207,188207,188207,188207,188207,188207,188207
40,Southwestern Community College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
41,Southwestern Community College,Southeastern Community College,Southeastern Community College,Southeastern Community College,199722,199722,199722,199722,199722,199722,199722
42,Southwestern Community College,Southwestern College,Southwestern College,Southwestern College,155900,155900,155900,155900,155900,155900,155900
43,Southwestern Community College,Southwestern College,Southwestern College,Southwestern College,188207,188207,188207,188207,188207,188207,188207
44,Southwestern Community College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
45,Southwestern Community College,Southeastern Community College,Southeastern Community College,Southeastern Community College,199722,199722,199722,199722,199722,199722,199722
46,Southeast Community College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
47,Southeast Community College,Southeastern Community College,Southeastern Community College,Southeastern Community College,199722,199722,199722,199722,199722,199722,199722
48,Southeast Community College,Southeast Community College Area,Southeast Community College Area,Southeast Community College Area,181640,181640,181640,181640,181640,181640,181640
49,Southeastern Community College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
50,Southeastern Community College,Southeastern Community College,Southeastern Community College,Southeastern Community College,199722,199722,199722,199722,199722,199722,199722
51,Southeastern Community College,Southwestern Community College,Southwestern Community College,Southwestern Community College,199731,199731,199731,199731,199731,199731,199731
52,Southeastern Community College,Southeastern Community College,Southeastern Community College,Southeastern Community College,199722,199722,199722,199722,199722,199722,199722
53,Sterling College,Sterling College,Sterling College,Sterling College,155937,155937,155937,155937,155937,155937,155937
55,Gordon College,Gordon College,Gordon College,Gordon College,165936,165936,165936,165936,165936,165936,165936
56,Middlesex County College,Middlesex Community College,Middlesex Community College,Middlesex Community College,166887,166887,166887,166887,166887,166887,166887
57,Middlesex Community College,Middlesex Community College,Middlesex Community College,Middlesex Community College,166887,166887,166887,166887,166887,166887,166887
58,Middlesex Community College,Middlesex Community College,Middlesex Community College,Middlesex Community College,166887,166887,166887,166887,166887,166887,166887
59,Miles Community College,Middlesex Community College,Middlesex Community College,Middlesex Community College,166887,166887,166887,166887,166887,166887,166887
60,Blue Mountain Community College,Blue Mountain College,Blue Mountain College,Blue Mountain College,175430,175430,175430,175430,175430,175430,175430
61,Metropolitan Community College District,Metropolitan Community College-Kansas City,Metropolitan Community College-Kansas City,Metropolitan Community College-Kansas City,177995,177995,177995,177995,177995,177995,177995
62,Metropolitan Community College,Metropolitan Community College-Kansas City,Metropolitan Community College-Kansas City,Metropolitan Community College-Kansas City,177995,177995,177995,177995,177995,177995,177995
63,Three Rivers Community College,Three Rivers College,Three Rivers College,Three Rivers College,179645,179645,179645,179645,179645,179645,179645
64,Three Rivers Community College,Three Rivers College,Three Rivers College,Three Rivers College,179645,179645,179645,179645,179645,179645,179645
65,Clark College,Clarkson College,Clarkson College,Clarkson College,180832,180832,180832,180832,180832,180832,180832
66,Western Texas College,Western Nevada College,Western Nevada College,Western Nevada College,182564,182564,182564,182564,182564,182564,182564
67,Western Nevada Community College,Western Nevada College,Western Nevada College,Western Nevada College,182564,182564,182564,182564,182564,182564,182564
70,New Mexico State University Grants,New Mexico State University-Dona Ana,New Mexico State University-Dona Ana,New Mexico State University-Dona Ana,187620,187620,187620,187620,187620,187620,187620
71,University of New Mexico - Los Alamos,University of New Mexico-Taos Campus,University of New Mexico-Taos Campus,University of New Mexico-Taos Campus,188225,188225,188225,188225,188225,188225,188225
72,Hamilton College,Hamilton College,Hamilton College,Hamilton College,191515,191515,191515,191515,191515,191515,191515
73,Sierra College,Siena College,Siena College,Siena College,195474,195474,195474,195474,195474,195474,195474
74,Trocaire College,Trocaire College,Trocaire College,Trocaire College,196653,196653,196653,196653,196653,196653,196653
75,College of the Ablemarle,College of the Albemarle,College of the Albemarle,College of the Albemarle,197814,197814,197814,197814,197814,197814,197814
76,Merced College,Meredith College,Meredith College,Meredith College,198950,198950,198950,198950,198950,198950,198950
77,Turtle Mountain Community College,Turtle Mountain Community College,Turtle Mountain Community College,Turtle Mountain Community College,200527,200527,200527,200527,200527,200527,200527
78,United Tribes Technical College,United Tribes Technical College,United Tribes Technical College,United Tribes Technical College,200554,200554,200554,200554,200554,200554,200554
79,Eastern Maine Community College,Eastern Gateway Community College,Eastern Gateway Community College,Eastern Gateway Community College,203331,203331,203331,203331,203331,203331,203331
80,Ohio State University Agricultural Technical Institute,Ohio State University Agricultural Technical Institute,Ohio State University Agricultural Technical Institute,Ohio State University Agricultural Technical Institute,204662,204662,204662,204662,204662,204662,204662
81,Shelton State Community College,Southern State Community College,Southern State Community College,Southern State Community College,205966,205966,205966,205966,205966,205966,205966
82,South Seattle Community College,Southern State Community College,Southern State Community College,Southern State Community College,205966,205966,205966,205966,205966,205966,205966
83,Southwestern Oklahoma State University-Sayre,Southwestern Oklahoma State University,Southwestern Oklahoma State University,Southwestern Oklahoma State University,207865,207865,207865,207865,207865,207865,207865
84,Southwestern Oklahoma State University - Sayre,Southwestern Oklahoma State University,Southwestern Oklahoma State University,Southwestern Oklahoma State University,207865,207865,207865,207865,207865,207865,207865
85,Lewis & Clark Community College,Lewis & Clark College,Lewis & Clark College,Lewis & Clark College,209056,209056,209056,209056,209056,209056,209056
86,Spartanburg Methodist College,Spartanburg Methodist College,Spartanburg Methodist College,Spartanburg Methodist College,218821,218821,218821,218821,218821,218821,218821
87,Lassen College,Lane College,Lane College,Lane College,220598,220598,220598,220598,220598,220598,220598
88,Laney College,Lane College,Lane College,Lane College,220598,220598,220598,220598,220598,220598,220598
89,Belmont Technical College,Vermont Technical College,Vermont Technical College,Vermont Technical College,231165,231165,231165,231165,231165,231165,231165
90,Blue River Community College,Blue Ridge Community College,Blue Ridge Community College,Blue Ridge Community College,231536,231536,231536,231536,231536,231536,231536
91,Blue Ridge Community College,Blue Ridge Community College,Blue Ridge Community College,Blue Ridge Community College,231536,231536,231536,231536,231536,231536,231536
92,Blue Ridge Community College,Blue Ridge Community College,Blue Ridge Community College,Blue Ridge Community College,231536,231536,231536,231536,231536,231536,231536
93,Marion Technical College,Marion Technical College,Marion Technical College,Marion Technical College,419226,419226,419226,419226,419226,419226,419226
94,New River Community & Technical College,New River Community and Technical College,New River Community and Technical College,New River Community and Technical College,447582,447582,447582,447582,447582,447582,447582
95,College of Eastern Idaho,College of Western Idaho,College of Western Idaho,College of Western Idaho,455114,455114,455114,455114,455114,455114,455114
96,Clovis Community College,Clovis Community College,Clovis Community College,Clovis Community College,489201,489201,489201,489201,489201,489201,489201
97,Copiah-Lincoln Community College,Copiah-Lincoln Community College-Natchez Campus,Copiah-Lincoln Community College-Natchez Campus,Copiah-Lincoln Community College-Natchez Campus,17557302,17557302,17557302,17557302,17557302,17557302,17557302
98,Gaston College,Gaston College,Gaston College,Gaston College,19857001,19857001,19857001,19857001,19857001,19857001,19857001
99,Harrisburg Area Community College,Harrisburg Area Community College-Lancaster,Harrisburg Area Community College-Lancaster,Harrisburg Area Community College-Lancaster,21287801,21287801,21287801,21287801,21287801,21287801,21287801
100,Harrisburg Area Community College,Harrisburg Area Community College-Gettysburg,Harrisburg Area Community College-Gettysburg,Harrisburg Area Community College-Gettysburg,21287802,21287802,21287802,21287802,21287802,21287802,21287802
101,Harrisburg Area Community College,Harrisburg Area Community College-Lebanon,Harrisburg Area Community College-Lebanon,Harrisburg Area Community College-Lebanon,21287803,21287803,21287803,21287803,21287803,21287803,21287803
102,Harrisburg Area Community College,Harrisburg Area Community College-York,Harrisburg Area Community College-York,Harrisburg Area Community College-York,21287804,21287804,21287804,21287804,21287804,21287804,21287804
103,Georgia Military College,Georgia Military College - Zebulon,Georgia Military College - Zebulon,Georgia Military College - Zebulon,48511101,48511101,48511101,48511101,48511101,48511101,48511101
104,Georgia Military College,Georgia Military College - Albany,Georgia Military College - Albany,Georgia Military College - Albany,48511102,48511102,48511102,48511102,48511102,48511102,48511102
105,Georgia Military College,Georgia Military College - Valdosta,Georgia Military College - Valdosta,Georgia Military College - Valdosta,48511103,48511103,48511103,48511103,48511103,48511103,48511103
106,Georgia Military College,Georgia Military College - Augusta,Georgia Military College - Augusta,Georgia Military College - Augusta,48511104,48511104,48511104,48511104,48511104,48511104,48511104
107,Georgia Military College,Georgia Military College - Fairburn,Georgia Military College - Fairburn,Georgia Military College - Fairburn,48511105,48511105,48511105,48511105,48511105,48511105,48511105
108,Georgia Military College,Georgia Military College - Robins,Georgia Military College - Robins,Georgia Military College - Robins,48511106,48511106,48511106,48511106,48511106,48511106,48511106
109,Georgia Military College,Georgia Military College - Columbus,Georgia Military College - Columbus,Georgia Military College - Columbus,48511107,48511107,48511107,48511107,48511107,48511107,48511107
110,Georgia Military College,Georgia Military College - Madison,Georgia Military College - Madison,Georgia Military College - Madison,48511109,48511109,48511109,48511109,48511109,48511109,48511109
111,Georgia Military College,Georgia Military College - Dublin,Georgia Military College - Dublin,Georgia Military College - Dublin,48511112,48511112,48511112,48511112,48511112,48511112,48511112
112,Georgia Military College,Georgia Military College - Eastman,Georgia Military College - Eastman,Georgia Military College - Eastman,48511113,48511113,48511113,48511113,48511113,48511113,48511113